case_id,reference,sft_prediction,reference_grpo,grpo_prediction,sft_correct,grpo_correct
sc_2021_insc_617,dismissed,dismissed,dismissed,dismissed,True,True
sc_1997_insc_268,dismissed,dismissed,dismissed,dismissed,True,True
sc_1995_insc_196,allowed,dismissed,allowed,dismissed,False,False
sc_1992_insc_125,allowed,dismissed,allowed,dismissed,False,False
sc_1969_insc_194,dismissed,allowed,dismissed,dismissed,False,True
sc_2016_insc_400,allowed,allowed,allowed,allowed,True,True
sc_2014_insc_737,allowed,dismissed,allowed,dismissed,False,False
sc_2011_insc_183,dismissed,allowed,dismissed,allowed,False,False
sc_2009_insc_268,dismissed,dismissed,dismissed,dismissed,True,True
sc_1961_insc_147,dismissed,dismissed,dismissed,dismissed,True,True
sc_2007_insc_143,allowed,allowed,allowed,allowed,True,True
sc_2016_insc_1087,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_1801,allowed,dismissed,allowed,dismissed,False,False
sc_2017_insc_130,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_1051,dismissed,dismissed,dismissed,dismissed,True,True
sc_2003_insc_534,allowed,allowed,allowed,dismissed,True,False
sc_1993_insc_40,allowed,dismissed,allowed,allowed,False,True
sc_1991_insc_222,dismissed,allowed,dismissed,dismissed,False,True
sc_2015_insc_415,dismissed,dismissed,dismissed,dismissed,True,True
sc_2003_insc_15,allowed,dismissed,allowed,dismissed,False,False
sc_2016_insc_1177,allowed,dismissed,allowed,allowed,False,True
sc_1983_insc_84,allowed,dismissed,allowed,dismissed,False,False
sc_1975_insc_118,dismissed,dismissed,dismissed,dismissed,True,True
sc_2005_insc_244,dismissed,dismissed,dismissed,dismissed,True,True
sc_1977_insc_107,dismissed,dismissed,dismissed,dismissed,True,True
sc_1962_insc_63,dismissed,allowed,dismissed,allowed,False,False
sc_1988_insc_103,dismissed,allowed,dismissed,dismissed,False,True
sc_1963_insc_252,dismissed,allowed,dismissed,allowed,False,False
sc_1969_insc_45,dismissed,dismissed,dismissed,allowed,True,False
sc_1996_insc_336,dismissed,dismissed,dismissed,dismissed,True,True
sc_2003_insc_289,dismissed,dismissed,dismissed,dismissed,True,True
sc_1976_insc_128,allowed,dismissed,allowed,dismissed,False,False
sc_2015_insc_833,dismissed,allowed,dismissed,dismissed,False,True
sc_1996_insc_356,dismissed,allowed,dismissed,allowed,False,False
sc_2014_insc_1046,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_5805,allowed,dismissed,allowed,dismissed,False,False
sc_2005_insc_535,dismissed,allowed,dismissed,dismissed,False,True
sc_2021_insc_316,allowed,allowed,allowed,allowed,True,True
sc_1995_insc_83,allowed,dismissed,allowed,dismissed,False,False
sc_2004_insc_465,allowed,allowed,allowed,allowed,True,True
sc_1962_insc_22,dismissed,allowed,dismissed,dismissed,False,True
in_abs_train_4654,allowed,dismissed,allowed,dismissed,False,False
sc_1970_insc_31,dismissed,allowed,dismissed,allowed,False,False
sc_2016_8_477_498_en,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_866,dismissed,dismissed,dismissed,dismissed,True,True
sc_1996_insc_1026,allowed,dismissed,allowed,dismissed,False,False
sc_2013_insc_145,allowed,dismissed,allowed,dismissed,False,False
sc_1959_insc_144,allowed,allowed,allowed,allowed,True,True
in_abs_train_5431,allowed,allowed,allowed,allowed,True,True
in_abs_train_6884,allowed,dismissed,allowed,allowed,False,True
sc_1988_insc_324,dismissed,dismissed,dismissed,dismissed,True,True
sc_1962_insc_165,dismissed,dismissed,dismissed,dismissed,True,True
sc_2010_insc_398,dismissed,allowed,dismissed,allowed,False,False
sc_1997_insc_585,allowed,dismissed,allowed,dismissed,False,False
sc_1954_insc_95,dismissed,dismissed,dismissed,dismissed,True,True
sc_1978_insc_258,allowed,dismissed,allowed,dismissed,False,False
sc_1994_insc_168,allowed,dismissed,allowed,dismissed,False,False
sc_1979_insc_124,dismissed,dismissed,dismissed,dismissed,True,True
sc_2004_insc_638,allowed,dismissed,allowed,allowed,False,True
sc_2014_insc_355,dismissed,allowed,dismissed,allowed,False,False
sc_2017_insc_1156,dismissed,allowed,dismissed,allowed,False,False
sc_1972_insc_110,dismissed,dismissed,dismissed,dismissed,True,True
sc_1976_insc_90,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_2680,allowed,allowed,allowed,dismissed,True,False
sc_1984_insc_197,allowed,dismissed,allowed,dismissed,False,False
sc_2010_insc_201,allowed,allowed,allowed,dismissed,True,False
sc_2022_insc_411,dismissed,allowed,dismissed,allowed,False,False
sc_2006_insc_784,dismissed,allowed,dismissed,allowed,False,False
sc_2019_insc_552,allowed,dismissed,allowed,dismissed,False,False
sc_1998_insc_244,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_4483,allowed,allowed,allowed,allowed,True,True
in_abs_train_2439,dismissed,dismissed,dismissed,dismissed,True,True
sc_2018_insc_429,dismissed,dismissed,dismissed,allowed,True,False
sc_1961_insc_335,dismissed,allowed,dismissed,allowed,False,False
sc_2007_insc_1174,dismissed,allowed,dismissed,allowed,False,False
sc_2012_insc_521,allowed,allowed,allowed,allowed,True,True
sc_2019_insc_399,dismissed,dismissed,dismissed,dismissed,True,True
sc_2003_insc_648,allowed,dismissed,allowed,allowed,False,True
sc_1987_insc_245,dismissed,dismissed,dismissed,allowed,True,False
sc_1991_insc_36,dismissed,dismissed,dismissed,dismissed,True,True
sc_1954_insc_78,allowed,dismissed,allowed,allowed,False,True
sc_1963_insc_50,dismissed,allowed,dismissed,dismissed,False,True
sc_1996_insc_192,allowed,dismissed,allowed,dismissed,False,False
sc_1975_insc_81,dismissed,dismissed,dismissed,dismissed,True,True
sc_2005_insc_331,dismissed,dismissed,dismissed,allowed,True,False
sc_1977_insc_190,dismissed,allowed,dismissed,allowed,False,False
sc_1967_insc_87,allowed,dismissed,allowed,dismissed,False,False
sc_2003_insc_663,allowed,allowed,allowed,dismissed,True,False
