case_id,reference_outcome,pred_original_sft,reward_original_sft,R_outcome_original_sft,R_issues_original_sft,R_rules_original_sft,R_authority_original_sft,R_reasoning_original_sft,pred_sft10k,reward_sft10k,R_outcome_sft10k,R_issues_sft10k,R_rules_sft10k,R_authority_sft10k,R_reasoning_sft10k,pred_grpo,reward_grpo,R_outcome_grpo,R_issues_grpo,R_rules_grpo,R_authority_grpo,R_reasoning_grpo,original_sft_correct,sft10k_correct,grpo_correct
sc_1999_insc_172,allowed,dismissed,0.0817055555555555,0.0,0.0,0.2222222222222222,0.2,0.0855555555555555,dismissed,0.0817055555555555,0.0,0.0,0.2222222222222222,0.2,0.0855555555555555,dismissed,0.0855555555555555,0.0,0.0,0.2222222222222222,0.2,0.0855555555555555,False,False,False
in_abs_train_719,allowed,allowed,0.4553303571428572,1.0,0.0,0.25,0.0952380952380952,0.4767857142857143,dismissed,0.0733303571428571,0.0,0.0,0.25,0.0952380952380952,0.0767857142857142,allowed,0.4553303571428572,1.0,0.0,0.25,0.0952380952380952,0.4767857142857143,True,False,True
sc_1995_insc_470,dismissed,dismissed,0.7242083333333333,1.0,0.6666666666666666,0.75,0.25,0.7583333333333333,dismissed,0.7281875000000001,1.0,1.0,0.5,0.25,0.7625000000000001,dismissed,0.7242083333333333,1.0,0.6666666666666666,0.75,0.25,0.7583333333333333,True,True,True
in_abs_train_2174,dismissed,other,0.2357142857142857,0.0,1.0,0.1428571428571428,0.0,0.2357142857142857,dismissed,0.7071428571428572,1.0,1.0,0.4285714285714285,0.0,0.7071428571428572,dismissed,0.7071428571428572,1.0,1.0,0.4285714285714285,0.0,0.7071428571428572,False,True,True
sc_2011_insc_393,allowed,allowed,0.4502142857142858,1.0,0.0,0.2857142857142857,0.0,0.4714285714285715,allowed,0.4502142857142858,1.0,0.0,0.2857142857142857,0.0,0.4714285714285715,allowed,0.4502142857142858,1.0,0.0,0.2857142857142857,0.0,0.4714285714285715,True,True,True
sc_2011_insc_774,allowed,dismissed,0.3740416666666667,0.0,1.0,0.5,0.4444444444444445,0.3916666666666666,allowed,0.6963541666666668,1.0,1.0,0.25,0.4444444444444445,0.7291666666666667,dismissed,0.3143541666666667,0.0,1.0,0.25,0.4444444444444445,0.3291666666666666,False,True,False
sc_2007_insc_1244,dismissed,dismissed,0.6000000000000001,1.0,1.0,0.0,0.0,0.6000000000000001,dismissed,0.5730000000000002,1.0,1.0,0.0,0.0,0.6000000000000001,dismissed,0.6714285714285715,1.0,1.0,0.2857142857142857,0.0,0.6714285714285715,True,True,True
sc_2005_insc_619,dismissed,dismissed,0.6279034690799397,1.0,0.6666666666666666,0.3076923076923076,0.1176470588235294,0.6279034690799397,allowed,0.0561085972850678,0.0,0.0,0.1538461538461538,0.1176470588235294,0.0561085972850678,dismissed,0.5894419306184012,1.0,0.6666666666666666,0.1538461538461538,0.1176470588235294,0.5894419306184012,True,False,True
sc_1970_insc_227,allowed,other,0.0318333333333333,0.0,0.0,0.0,0.2222222222222222,0.0333333333333333,allowed,0.4958333333333333,1.0,0.0,0.25,0.2222222222222222,0.4958333333333333,dismissed,0.0333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0333333333333333,False,True,False
sc_2007_insc_867,allowed,dismissed,0.0955,0.0,0.5,0.0,0.0,0.1,allowed,0.4775,1.0,0.5,0.0,0.0,0.5,dismissed,0.0955,0.0,0.5,0.0,0.0,0.1,False,True,False
sc_1977_insc_119,dismissed,dismissed,0.4775,1.0,0.0,0.4,0.0,0.5,dismissed,0.4350555555555556,1.0,0.0,0.2222222222222222,0.0,0.4555555555555556,dismissed,0.42975,1.0,0.0,0.2,0.0,0.45,True,True,True
in_abs_train_6443,dismissed,dismissed,0.4775,1.0,0.0,0.4,0.0,0.5,dismissed,0.5,1.0,0.0,0.4,0.0,0.5,allowed,0.0955,0.0,0.0,0.4,0.0,0.1,True,True,False
sc_1963_insc_60,allowed,other,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.4071315789473685,1.0,0.0,0.1052631578947368,0.0,0.4263157894736842,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
sc_1996_insc_1438,dismissed,other,0.191,0.0,1.0,0.0,0.0,0.2,dismissed,0.6685000000000001,1.0,1.0,0.4,0.0,0.7000000000000001,dismissed,0.5730000000000002,1.0,1.0,0.0,0.0,0.6000000000000001,False,True,True
sc_1998_insc_285,allowed,allowed,0.382,1.0,0.0,0.0,0.0,0.4,allowed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
sc_1963_insc_36,allowed,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
